"","fixed_acidity","volatile_acidity","citric_acidity","ph","quality"
"675",10.8,0.4,0.41,3.08,6
"676",9.3,0.41,0.39,3.26,5
"677",10.8,0.4,0.41,3.08,6
"678",8.6,0.8,0.11,3.4,5
"679",8.3,0.78,0.1,3.48,5
"680",10.8,0.26,0.45,3.13,5
"681",13.3,0.43,0.58,3.06,5
"682",8,0.45,0.23,3.21,6
"683",8.5,0.46,0.31,3.33,5
"684",8.1,0.78,0.23,3.37,5
"685",9.8,0.98,0.32,3.25,5
"686",8.1,0.78,0.23,3.37,5
"687",7.1,0.65,0.18,3.44,5
"688",9.1,0.64,0.23,3.28,5
"689",7.7,0.66,0.04,3.4,5
"690",8.1,0.38,0.48,3.3,5
"691",7.4,1.185,0,3.63,3
"692",9.2,0.92,0.24,3.48,5
"693",8.6,0.49,0.51,3.03,5
"694",9,0.48,0.32,3.32,5
"695",9,0.47,0.31,3.31,5
"696",5.1,0.47,0.02,3.9,6
"697",7,0.65,0.02,3.47,6
"698",7,0.65,0.02,3.47,6
"699",9.4,0.615,0.28,3.31,5
"700",11.8,0.38,0.55,3.11,6
"701",10.6,1.02,0.43,3.08,6
"702",7,0.65,0.02,3.47,6
"703",7,0.64,0.02,3.47,6
"704",7.5,0.38,0.48,3.32,4
"705",9.1,0.765,0.04,3.29,4
"706",8.4,1.035,0.15,3.37,5
"707",7,0.78,0.08,3.4,5
"708",7.4,0.49,0.19,3.37,5
"709",7.8,0.545,0.12,3.34,6
"710",9.7,0.31,0.47,3.27,6
"711",10.6,1.025,0.43,3.06,5
"712",8.9,0.565,0.34,3.38,5
"713",8.7,0.69,0,3.36,5
"714",8,0.43,0.36,3.34,5
"715",9.9,0.74,0.28,3.28,5
"716",7.2,0.49,0.18,3.29,6
"717",8,0.43,0.36,3.34,5
"718",7.6,0.46,0.11,3.21,5
"719",8.4,0.56,0.04,3.22,5
"720",7.1,0.66,0,3.46,5
"721",8.4,0.56,0.04,3.22,5
"722",8.9,0.48,0.24,3.1,5
"723",7.6,0.42,0.08,3.21,5
"724",7.1,0.31,0.3,2.94,5
"725",7.5,1.115,0.1,3.54,4
"726",9,0.66,0.17,3.29,5
"727",8.1,0.72,0.09,3.43,6
"728",6.4,0.57,0.02,3.46,5
"729",6.4,0.57,0.02,3.46,5
"730",6.4,0.865,0.03,3.61,6
"731",9.5,0.55,0.66,3.17,5
"732",8.9,0.875,0.13,3.44,5
"733",7.3,0.835,0.03,3.39,5
"734",7,0.45,0.34,3.55,5
"735",7.7,0.56,0.2,3.48,5
"736",7.7,0.965,0.1,3.26,5
"737",7.7,0.965,0.1,3.26,5
"738",8.2,0.59,0,3.5,6
"739",9,0.46,0.23,3.1,5
"740",9,0.69,0,3.35,5
"741",8.3,0.76,0.29,3.45,6
"742",9.2,0.53,0.24,3.21,5
"743",6.5,0.615,0,3.46,5
"744",11.6,0.41,0.58,3.13,5
"745",11.1,0.39,0.54,3.13,5
"746",7.3,0.51,0.18,3.52,6
"747",8.2,0.34,0.38,3.3,6
"748",8.6,0.33,0.4,3.3,5
"749",7.2,0.5,0.18,3.52,6
"750",7.3,0.51,0.18,3.52,6
"751",8.3,0.65,0.1,3.29,5
"752",8.3,0.65,0.1,3.29,5
"753",7.6,0.54,0.13,3.39,5
"754",8.3,0.65,0.1,3.29,5
"755",7.8,0.48,0.68,3.09,6
"756",7.8,0.91,0.07,3.51,6
"757",6.3,0.98,0.01,3.6,6
"758",8.1,0.87,0,3.25,5
"759",8.1,0.87,0,3.25,5
"760",8.8,0.42,0.21,3.19,5
"761",9,0.58,0.25,3.23,5
"762",9.3,0.655,0.26,3.25,5
"763",8.8,0.7,0,3.31,6
"764",9.3,0.655,0.26,3.25,5
"765",9.1,0.68,0.11,3.31,6
"766",9.2,0.67,0.1,3.31,6
"767",8.8,0.59,0.18,3.14,5
"768",7.5,0.6,0.32,3.45,5
"769",7.1,0.59,0.02,3.55,6
"770",7.9,0.72,0.01,3.39,5
"771",7.1,0.59,0.02,3.55,6
"772",9.4,0.685,0.26,3.28,5
"773",9.5,0.57,0.27,3.27,5
"774",7.9,0.4,0.29,3.3,6
"775",7.9,0.4,0.3,3.31,6
"776",7.2,1,0,3.43,5
"777",6.9,0.765,0.18,3.4,6
"778",6.9,0.635,0.17,3.4,6
"779",8.3,0.43,0.3,3.36,5
"780",7.1,0.52,0.03,3.5,5
"781",7,0.57,0,3.31,6
"782",6.5,0.46,0.14,3.66,5
"783",9,0.82,0.05,3.36,5
"784",6.5,0.46,0.14,3.66,5
"785",7.1,0.59,0.01,3.55,5
"786",9.9,0.35,0.41,3.21,5
"787",9.9,0.35,0.41,3.21,5
"788",10,0.56,0.24,3.18,6
"789",10,0.56,0.24,3.18,6
"790",8.6,0.63,0.17,3.09,5
"791",7.4,0.37,0.43,3.33,6
"792",8.8,0.64,0.17,3.23,5
"793",7.1,0.61,0.02,3.48,6
"794",7.7,0.6,0,3.38,5
"795",10.1,0.27,0.54,3.17,6
"796",10.8,0.89,0.3,2.99,5
"797",8.7,0.46,0.31,3.1,5
"798",9.3,0.37,0.44,3.24,7
"799",9.4,0.5,0.34,3.29,6
"800",9.4,0.5,0.34,3.29,6
"801",7.2,0.61,0.08,3.25,5
"802",8.6,0.55,0.09,3.23,5
"803",5.1,0.585,0,3.56,7
"804",7.7,0.56,0.08,3.24,6
"805",8.4,0.52,0.22,3.26,6
"806",8.2,0.28,0.4,3.33,7
"807",8.4,0.25,0.39,3.27,7
"808",8.2,0.28,0.4,3.33,7
"809",7.4,0.53,0.12,3.26,5
"810",7.6,0.48,0.31,3.22,6
"811",7.3,0.49,0.1,3.3,5
"812",12.9,0.5,0.55,3.09,6
"813",10.8,0.45,0.33,3.24,5
"814",6.9,0.39,0.24,3.44,4
"815",12.6,0.41,0.54,3.21,6
"816",10.8,0.45,0.33,3.24,5
"817",9.8,0.51,0.19,3.23,6
"818",10.8,0.29,0.42,3.28,6
"819",7.1,0.715,0,3.29,5
"820",9.1,0.66,0.15,3.28,5
"821",7,0.685,0,3.34,5
"822",4.9,0.42,0,3.71,7
"823",6.7,0.54,0.13,3.61,5
"824",6.7,0.54,0.13,3.61,5
"825",7.1,0.48,0.28,3.24,5
"826",7.1,0.46,0.14,3.36,5
"827",7.5,0.27,0.34,3.4,7
"828",7.1,0.46,0.14,3.36,5
"829",7.8,0.57,0.09,3.46,8
"830",5.9,0.61,0.08,3.56,6
"831",7.5,0.685,0.07,3.38,4
"832",5.9,0.61,0.08,3.56,6
"833",10.4,0.44,0.42,3.38,3
"834",11.6,0.47,0.44,3.38,4
"835",8.8,0.685,0.26,3.32,5
"836",7.6,0.665,0.1,3.39,5
"837",6.7,0.28,0.28,3.26,7
"838",6.7,0.28,0.28,3.26,7
"839",10.1,0.31,0.35,3.24,7
"840",6,0.5,0.04,3.46,5
"841",11.1,0.42,0.47,3.24,7
"842",6.6,0.66,0,3.45,5
"843",10.6,0.5,0.45,3.23,6
"844",7.1,0.685,0.35,3.28,5
"845",9.9,0.25,0.46,3.18,6
"846",6.4,0.64,0.21,3.59,5
"847",6.4,0.64,0.21,3.59,5
"848",7.4,0.68,0.16,3.5,6
"849",6.4,0.64,0.21,3.59,5
"850",6.4,0.63,0.21,3.58,5
"851",9.3,0.43,0.44,3.28,5
"852",9.3,0.43,0.44,3.28,5
"853",8,0.42,0.32,3.22,5
"854",9.3,0.36,0.39,3.47,6
"855",9.3,0.36,0.39,3.47,6
"856",7.6,0.735,0.02,3.51,7
"857",9.3,0.36,0.39,3.47,6
"858",8.2,0.26,0.34,3.4,7
"859",11.7,0.28,0.47,3.15,7
"860",6.8,0.56,0.22,3.4,6
"861",7.2,0.62,0.06,3.51,5
"862",5.8,1.01,0.66,3.66,6
"863",7.5,0.42,0.32,3.24,5
"864",7.2,0.62,0.06,3.51,5
"865",7.2,0.62,0.06,3.51,5
"866",7.2,0.635,0.07,3.51,5
"867",6.8,0.49,0.22,3.41,6
"868",6.9,0.51,0.23,3.4,6
"869",6.8,0.56,0.22,3.4,6
"870",7.6,0.63,0.03,3.44,6
"871",7.7,0.715,0.01,3.41,6
"872",6.9,0.56,0.03,3.53,5
"873",7.3,0.35,0.24,3.43,4
"874",9.1,0.21,0.37,3.23,7
"875",10.4,0.38,0.46,3.12,7
"876",8.8,0.31,0.4,3.31,7
"877",7.1,0.47,0,3.4,4
"878",7.7,0.715,0.01,3.41,6
"879",8.8,0.61,0.19,3.22,6
"880",7.2,0.6,0.04,3.53,5
"881",9.2,0.56,0.18,3.15,5
"882",7.6,0.715,0,3.48,6
"883",8.4,0.31,0.29,3.22,6
"884",7.2,0.6,0.04,3.53,5
"885",8.8,0.61,0.19,3.22,6
"886",8.9,0.75,0.14,3.34,5
"887",9,0.8,0.12,3.33,6
"888",10.7,0.52,0.38,3.15,7
"889",6.8,0.57,0,3.43,6
"890",10.7,0.9,0.34,3.22,5
"891",7.2,0.34,0.24,3.44,5
"892",7.2,0.66,0.03,3.53,5
"893",10.1,0.45,0.23,3.22,6
"894",7.2,0.66,0.03,3.53,5
"895",7.2,0.63,0.03,3.53,6
"896",7.1,0.59,0.01,3.42,6
"897",8.3,0.31,0.39,3.31,7
"898",7.1,0.59,0.01,3.42,6
"899",8.3,0.31,0.39,3.31,7
"900",8.3,1.02,0.02,3.48,3
"901",8.9,0.31,0.36,3.4,5
"902",7.4,0.635,0.1,3.58,7
"903",7.4,0.635,0.1,3.58,7
"904",6.8,0.59,0.06,3.41,7
"905",6.8,0.59,0.06,3.41,7
"906",9.2,0.58,0.2,3.23,5
"907",7.2,0.54,0.27,3.39,5
"908",6.1,0.56,0,3.59,6
"909",7.4,0.52,0.13,3.43,6
"910",7.3,0.305,0.39,3.29,6
"911",9.3,0.38,0.48,3.23,6
"912",9.1,0.28,0.46,3.18,6
"913",10,0.46,0.44,3.33,6
"914",9.4,0.395,0.46,3.27,7
"915",7.3,0.305,0.39,3.29,6
"916",8.6,0.315,0.4,3.27,6
"917",5.3,0.715,0.19,3.62,5
"918",6.8,0.41,0.31,3.38,6
"919",8.4,0.36,0.32,3.3,6
"920",8.4,0.62,0.12,3.38,6
"921",9.6,0.41,0.37,3.24,5
"922",8.4,0.36,0.32,3.3,6
"923",8.4,0.62,0.12,3.38,6
"924",6.8,0.41,0.31,3.38,6
"925",8.6,0.47,0.27,3.18,5
"926",8.6,0.22,0.36,3.47,7
"927",9.4,0.24,0.33,3.47,6
"928",8.4,0.67,0.19,3.2,4
"929",8.6,0.47,0.27,3.18,5
"930",8.7,0.33,0.38,3.3,7
"931",6.6,0.61,0.01,3.69,5
"932",7.4,0.61,0.01,3.48,5
"933",7.6,0.4,0.29,3.45,6
"934",7.4,0.61,0.01,3.48,5
"935",6.6,0.61,0.01,3.69,5
"936",8.8,0.3,0.38,3.39,6
"937",8.8,0.3,0.38,3.39,6
"938",12,0.63,0.5,3.07,4
"939",7.2,0.38,0.38,3.34,7
"940",6.2,0.46,0.17,3.61,5
"941",9.6,0.33,0.52,3.36,7
"942",9.9,0.27,0.49,3.19,7
"943",10.1,0.43,0.4,3.22,7
"944",9.8,0.5,0.34,3.24,7
"945",8.3,0.3,0.49,3.27,7
"946",10.2,0.44,0.42,3.14,7
"947",10.2,0.44,0.58,3.29,7
"948",8.3,0.28,0.48,3.26,7
"949",8.9,0.12,0.45,3.41,7
"950",8.9,0.12,0.45,3.41,7
"951",8.9,0.12,0.45,3.41,7
"952",8.3,0.28,0.48,3.26,7
"953",8.2,0.31,0.4,3.31,7
"954",10.2,0.34,0.48,3.2,7
"955",7.6,0.43,0.4,3.44,6
"956",8.5,0.21,0.52,3.36,5
"957",9,0.36,0.52,3.31,6
"958",9.5,0.37,0.52,3.29,6
"959",6.4,0.57,0.12,3.47,7
"960",8,0.59,0.05,3.36,5
"961",8.5,0.47,0.27,3.16,6
"962",7.1,0.56,0.14,3.27,5
"963",6.6,0.57,0.02,3.38,5
"964",8.8,0.27,0.39,3.15,6
"965",8.5,0.47,0.27,3.16,6
"966",8.3,0.34,0.4,3.34,6
"967",9,0.38,0.41,3.13,7
"968",8.5,0.66,0.2,3.13,5
"969",9,0.4,0.43,3.2,6
"970",6.7,0.56,0.09,3.46,5
"971",10.4,0.26,0.48,3.33,6
"972",10.4,0.26,0.48,3.33,6
"973",10.1,0.38,0.5,3.22,7
"974",8.5,0.34,0.44,3.52,5
"975",8.8,0.33,0.41,3.3,7
"976",7.2,0.41,0.3,3.44,5
"977",7.2,0.41,0.3,3.44,5
"978",8.4,0.59,0.29,3.15,5
"979",7,0.4,0.32,3.28,7
"980",12.2,0.45,0.49,3.13,5
"981",9.1,0.5,0.3,3.32,6
"982",9.5,0.86,0.26,3.25,5
"983",7.3,0.52,0.32,3.34,6
"984",9.1,0.5,0.3,3.32,6
"985",12.2,0.45,0.49,3.13,5
"986",7.4,0.58,0,3.45,6
"987",9.8,0.34,0.39,3.19,7
"988",7.1,0.36,0.3,3.44,5
"989",7.7,0.39,0.12,3.16,5
"990",9.7,0.295,0.4,3.14,6
"991",7.7,0.39,0.12,3.16,5
"992",7.1,0.34,0.28,3.45,5
"993",6.5,0.4,0.1,3.36,6
"994",7.1,0.34,0.28,3.45,5
"995",10,0.35,0.45,3.15,5
"996",7.7,0.6,0.06,3.39,6
"997",5.6,0.66,0,3.71,7
"998",5.6,0.66,0,3.71,7
"999",8.9,0.84,0.34,3.12,6
"1000",6.4,0.69,0,3.47,6
"1001",7.5,0.43,0.3,3.44,7
"1002",9.9,0.35,0.38,3.26,7
"1003",9.1,0.29,0.33,3.26,7
"1004",6.8,0.36,0.32,3.36,7
"1005",8.2,0.43,0.29,3.25,5
"1006",6.8,0.36,0.32,3.36,7
"1007",9.1,0.29,0.33,3.26,7
"1008",9.1,0.3,0.34,3.26,7
"1009",8.9,0.35,0.4,3.23,7
"1010",9.6,0.5,0.36,3.18,5
"1011",8.9,0.28,0.45,3.25,7
"1012",8.9,0.32,0.31,3.17,6
"1013",7.7,1.005,0.15,3.23,5
"1014",7.5,0.71,0,3.38,6
"1015",8,0.58,0.16,3.22,6
"1016",10.5,0.39,0.46,3.06,6
"1017",8.9,0.38,0.4,3.27,7
"1018",8,0.18,0.37,2.89,6
"1019",8,0.18,0.37,2.89,6
"1020",7,0.5,0.14,3.53,5
"1021",11.3,0.36,0.66,3.2,6
"1022",11.3,0.36,0.66,3.2,6
"1023",7,0.51,0.09,3.35,5
"1024",8.2,0.32,0.42,3.27,6
"1025",7.7,0.58,0.01,3.32,7
"1026",8.6,0.83,0,3.33,6
"1027",7.9,0.31,0.32,3.41,6
"1028",6.4,0.795,0,3.49,5
"1029",7.2,0.34,0.21,3.37,6
"1030",7.7,0.58,0.01,3.32,7
"1031",7.1,0.59,0,3.42,7
"1032",7.3,0.55,0.01,3.35,7
"1033",8.1,0.82,0,3.36,5
"1034",7.5,0.57,0.08,3.3,6
"1035",8.9,0.745,0.18,3.2,6
"1036",10.1,0.37,0.34,3.17,7
"1037",7.6,0.31,0.34,3.22,7
"1038",7.3,0.91,0.1,3.35,5
"1039",8.7,0.41,0.41,3.24,7
"1040",8.9,0.5,0.21,3.33,6
"1041",7.4,0.965,0,3.58,5
"1042",6.9,0.49,0.19,3.38,6
"1043",8.9,0.5,0.21,3.33,6
"1044",9.5,0.39,0.41,3.29,7
"1045",6.4,0.39,0.33,3.36,6
"1046",6.9,0.44,0,3.32,6
"1047",7.6,0.78,0,3.31,6
"1048",7.1,0.43,0.17,3.49,5
"1049",9.3,0.49,0.36,3.27,6
"1050",9.3,0.5,0.36,3.27,6
"1051",7.1,0.43,0.17,3.49,5
"1052",8.5,0.46,0.59,3.03,5
"1053",5.6,0.605,0.05,3.56,5
"1054",8.3,0.33,0.42,3.38,7
"1055",8.2,0.64,0.27,3.13,6
"1056",8.2,0.64,0.27,3.13,6
"1057",8.9,0.48,0.53,3.21,7
"1058",7.6,0.42,0.25,3.15,5
"1059",9.9,0.53,0.57,3.19,7
"1060",8.9,0.48,0.53,3.21,7
"1061",11.6,0.23,0.57,3.14,6
"1062",9.1,0.4,0.5,3.21,8
"1063",8,0.38,0.44,3.3,6
"1064",10.2,0.29,0.65,3.22,6
"1065",8.2,0.74,0.09,3.28,6
"1066",7.7,0.61,0.18,3.29,6
"1067",6.6,0.52,0.08,3.4,7
"1068",11.1,0.31,0.53,3.02,7
"1069",11.1,0.31,0.53,3.02,7
"1070",8,0.62,0.35,3.31,5
"1071",9.3,0.33,0.45,3.18,7
"1072",7.5,0.77,0.2,3.2,5
"1073",7.2,0.35,0.26,3.4,6
"1074",8,0.62,0.33,3.31,6
"1075",7.5,0.77,0.2,3.2,5
"1076",9.1,0.25,0.34,3.44,7
"1077",9.9,0.32,0.56,3.15,6
"1078",8.6,0.37,0.65,3.27,5
"1079",8.6,0.37,0.65,3.27,5
"1080",7.9,0.3,0.68,3.01,7
"1081",10.3,0.27,0.56,3.16,6
"1082",7.9,0.3,0.68,3.01,7
"1083",7.2,0.38,0.3,3.42,6
"1084",8.7,0.42,0.45,3.33,6
"1085",7.2,0.38,0.3,3.42,6
"1086",6.8,0.48,0.08,3.12,5
"1087",8.5,0.34,0.4,3.38,7
"1088",7.9,0.19,0.42,3.29,6
"1089",11.6,0.41,0.54,3.02,7
"1090",11.6,0.41,0.54,3.02,7
"1091",10,0.26,0.54,2.98,8
"1092",7.9,0.34,0.42,3.35,6
"1093",7,0.54,0.09,3.43,6
"1094",9.2,0.31,0.36,3.33,7
"1095",6.6,0.725,0.09,3.35,6
"1096",9.4,0.4,0.47,3.15,5
"1097",6.6,0.725,0.09,3.35,6
"1098",8.6,0.52,0.38,3.2,5
"1099",8,0.31,0.45,3.15,7
"1100",8.6,0.52,0.38,3.2,5
"1101",8.4,0.34,0.42,3.11,6
"1102",7.4,0.49,0.27,3.35,6
"1103",6.1,0.48,0.09,3.45,6
"1104",7.4,0.49,0.27,3.35,6
"1105",8,0.48,0.34,3.28,6
"1106",6.3,0.57,0.28,3.41,5
"1107",8.2,0.23,0.42,3.21,6
"1108",9.1,0.3,0.41,3.27,7
"1109",8.1,0.78,0.1,3.36,5
"1110",10.8,0.47,0.43,3.17,6
"1111",8.3,0.53,0,3.25,6
"1112",5.4,0.42,0.27,3.78,7
"1113",7.9,0.33,0.41,3.29,6
"1114",8.9,0.24,0.39,3.12,6
"1115",5,0.4,0.5,3.49,6
"1116",7,0.69,0.07,3.38,6
"1117",7,0.69,0.07,3.38,6
"1118",7,0.69,0.07,3.38,6
"1119",7.1,0.39,0.12,3.3,6
"1120",5.6,0.66,0,3.52,5
"1121",7.9,0.54,0.34,3.2,8
"1122",6.6,0.5,0,3.44,6
"1123",6.3,0.47,0,3.45,6
"1124",10.7,0.4,0.37,3.12,6
"1125",6.5,0.58,0,3.62,4
"1126",8.8,0.24,0.35,3.14,7
"1127",5.8,0.29,0.26,3.39,6
"1128",6.3,0.76,0,3.51,6
"1129",10,0.43,0.33,3.22,5
"1130",10.5,0.43,0.35,3.21,6
"1131",9.1,0.6,0,3.18,6
"1132",5.9,0.19,0.21,3.32,5
"1133",7.4,0.36,0.34,3.38,7
"1134",7.2,0.48,0.07,3.37,7
"1135",8.5,0.28,0.35,3.3,7
"1136",8,0.25,0.43,3.38,6
"1137",10.4,0.52,0.45,3.22,6
"1138",10.4,0.52,0.45,3.22,6
"1139",7.5,0.41,0.15,3.14,5
"1140",8.2,0.51,0.24,3.34,6
"1141",7.3,0.4,0.3,3.41,6
"1142",8.2,0.38,0.32,3.27,6
"1143",6.9,0.45,0.11,3.3,6
"1144",7,0.22,0.3,3.61,6
"1145",7.3,0.32,0.23,3.43,5
"1146",8.2,0.2,0.43,3.53,6
"1147",7.8,0.5,0.12,3.28,6
"1148",10,0.41,0.45,3.21,7
"1149",7.8,0.39,0.42,3.39,6
"1150",10,0.35,0.47,3.23,6
"1151",8.2,0.33,0.32,3.3,7
"1152",6.1,0.58,0.23,3.46,6
"1153",8.3,0.6,0.25,3.15,5
"1154",9.6,0.42,0.35,3.23,6
"1155",6.6,0.58,0,3.59,6
"1156",8.3,0.6,0.25,3.15,5
"1157",8.5,0.18,0.51,3.33,7
"1158",5.1,0.51,0.18,3.46,7
"1159",6.7,0.41,0.43,3.42,6
"1160",10.2,0.41,0.43,3.16,5
"1161",10.6,0.36,0.57,3.14,7
"1162",8.8,0.45,0.43,3.21,6
"1163",8.5,0.32,0.42,3.14,7
"1164",9,0.785,0.24,3.29,5
"1165",9,0.785,0.24,3.29,5
"1166",8.5,0.44,0.5,3.01,5
"1167",9.9,0.54,0.26,2.94,5
"1168",8.2,0.33,0.39,3.32,7
"1169",6.5,0.34,0.27,3.21,6
"1170",7.6,0.5,0.29,3.32,6
"1171",9.2,0.36,0.34,3.2,6
"1172",7.1,0.59,0,3.42,6
"1173",9.7,0.42,0.46,3.27,6
"1174",7.6,0.36,0.31,3.46,6
"1175",7.6,0.36,0.31,3.46,6
"1176",6.5,0.61,0,3.61,6
"1177",6.5,0.88,0.03,3.58,4
"1178",7.1,0.66,0,3.35,7
"1179",5.6,0.915,0,3.68,5
"1180",8.2,0.35,0.33,3.27,6
"1181",8.2,0.35,0.33,3.27,6
"1182",9.8,0.39,0.43,3.19,5
"1183",10.2,0.4,0.4,3.38,6
"1184",6.8,0.66,0.07,3.29,5
"1185",6.7,0.64,0.23,3.36,5
"1186",7,0.43,0.3,3.33,6
"1187",6.6,0.8,0.03,3.52,5
"1188",7,0.43,0.3,3.33,6
"1189",6.7,0.64,0.23,3.36,5
"1190",8.8,0.955,0.05,3.3,4
"1191",9.1,0.4,0.57,3.28,6
"1192",6.5,0.885,0,3.56,5
"1193",7.2,0.25,0.37,3.52,7
"1194",6.4,0.885,0,3.56,5
"1195",7,0.745,0.12,3.22,6
"1196",6.2,0.43,0.22,3.52,6
"1197",7.9,0.58,0.23,3.21,6
"1198",7.7,0.57,0.21,3.16,6
"1199",7.7,0.26,0.26,3.15,6
"1200",7.9,0.58,0.23,3.21,6
"1201",7.7,0.57,0.21,3.16,6
"1202",7.9,0.34,0.36,3.27,7
"1203",8.6,0.42,0.39,3.35,8
"1204",9.9,0.74,0.19,3.14,5
"1205",7.2,0.36,0.46,3.4,7
"1206",7.2,0.36,0.46,3.4,7
"1207",7.2,0.36,0.46,3.4,7
"1208",9.9,0.72,0.55,3.35,5
"1209",7.2,0.36,0.46,3.4,7
"1210",6.2,0.39,0.43,3.45,7
"1211",6.8,0.65,0.02,3.35,6
"1212",6.6,0.44,0.15,3.32,5
"1213",6.8,0.65,0.02,3.35,6
"1214",9.6,0.38,0.42,3.15,6
"1215",10.2,0.33,0.46,3.1,6
"1216",8.8,0.27,0.46,3.26,6
"1217",7.9,0.57,0.31,3.29,6
"1218",8.2,0.34,0.37,3.23,6
"1219",8.2,0.4,0.31,3.24,6
"1220",9,0.39,0.4,3.2,6
"1221",10.9,0.32,0.52,3.28,6
"1222",10.9,0.32,0.52,3.28,6
"1223",8.1,0.53,0.22,3.26,6
"1224",10.5,0.36,0.47,3.23,6
"1225",12.6,0.39,0.49,3.07,6
"1226",9.2,0.46,0.23,3.15,5
"1227",7.5,0.58,0.03,3.02,5
"1228",9,0.58,0.25,3.27,5
"1229",5.1,0.42,0,3.68,7
"1230",7.6,0.43,0.29,3.4,5
"1231",7.7,0.18,0.34,3.37,6
"1232",7.8,0.815,0.01,3.38,5
"1233",7.6,0.43,0.29,3.4,5
"1234",10.2,0.23,0.37,3.23,4
"1235",7.1,0.75,0.01,3.39,6
"1236",6,0.33,0.32,3.3,4
"1237",7.8,0.55,0,3.26,6
"1238",7.1,0.75,0.01,3.39,6
"1239",8.1,0.73,0,3.38,4
"1240",6.5,0.67,0,3.45,4
"1241",7.5,0.61,0.2,3.1,5
"1242",9.8,0.37,0.39,3.16,5
"1243",9,0.4,0.41,3.22,6
"1244",8.3,0.56,0.22,3.37,5
"1245",5.9,0.29,0.25,3.33,6
"1246",7.4,0.55,0.19,3.49,5
"1247",7.4,0.74,0.07,3.12,5
"1248",7.4,0.55,0.19,3.49,5
"1249",6.9,0.41,0.33,3.41,6
"1250",7.1,0.6,0.01,3.4,6
"1251",7.1,0.6,0.01,3.4,6
"1252",7.5,0.58,0.14,3.28,5
"1253",7.1,0.72,0,3.45,5
"1254",7.9,0.66,0,3.43,5
"1255",7.8,0.7,0.06,3.4,5
"1256",6.1,0.64,0.02,3.47,5
"1257",7.5,0.59,0.22,3.1,5
"1258",7,0.58,0.28,3.32,6
"1259",6.8,0.64,0,3.44,6
"1260",6.8,0.64,0,3.44,6
"1261",8.6,0.635,0.68,3.02,5
"1262",6.3,1.02,0,3.59,4
"1263",9.8,0.45,0.38,3.15,5
"1264",8.2,0.78,0,3.37,4
"1265",8.5,0.37,0.32,3.38,6
"1266",7.2,0.57,0.05,3.38,6
"1267",7.2,0.57,0.05,3.38,6
"1268",10.4,0.43,0.5,3.1,6
"1269",6.9,0.41,0.31,3.47,6
"1270",5.5,0.49,0.03,3.5,8
"1271",5,0.38,0.01,3.7,6
"1272",7.3,0.44,0.2,3.38,6
"1273",5.9,0.46,0,3.5,5
"1274",7.5,0.58,0.2,3.1,5
"1275",7.8,0.58,0.13,3.24,6
"1276",8,0.715,0.22,3.24,6
"1277",8.5,0.4,0.4,3.28,4
"1278",7,0.69,0,3.35,6
"1279",8,0.715,0.22,3.24,6
"1280",9.8,0.3,0.39,3.14,7
"1281",7.1,0.46,0.2,3.37,6
"1282",7.1,0.46,0.2,3.37,6
"1283",7.9,0.765,0,3.33,6
"1284",8.7,0.63,0.28,3.26,6
"1285",7,0.42,0.19,3.39,5
"1286",11.3,0.37,0.5,3.15,5
"1287",7.1,0.16,0.44,3.35,6
"1288",8,0.6,0.08,3.22,5
"1289",7,0.6,0.3,3.3,5
"1290",7,0.6,0.3,3.3,5
"1291",7.6,0.74,0,3.36,5
"1292",8.2,0.635,0.1,3.29,6
"1293",5.9,0.395,0.13,3.62,6
"1294",7.5,0.755,0,3.34,4
"1295",8.2,0.635,0.1,3.29,6
"1296",6.6,0.63,0,3.2,5
"1297",6.6,0.63,0,3.2,5
"1298",7.2,0.53,0.14,3.35,6
"1299",5.7,0.6,0,3.45,6
"1300",7.6,1.58,0,3.5,3
"1301",5.2,0.645,0,3.78,6
"1302",6.7,0.86,0.07,3.6,6
"1303",9.1,0.37,0.32,3.3,6
"1304",8,0.28,0.44,3.36,5
"1305",7.6,0.79,0.21,3.12,5
"1306",7.5,0.61,0.26,3.3,5
"1307",9.7,0.69,0.32,3.29,5
"1308",6.8,0.68,0.09,3.41,4
"1309",9.7,0.69,0.32,3.29,5
"1310",7,0.62,0.1,3.28,5
"1311",7.5,0.61,0.26,3.3,5
"1312",6.5,0.51,0.15,3.33,6
"1313",8,1.18,0.21,3.34,5
"1314",7,0.36,0.21,3.4,6
"1315",7,0.36,0.21,3.4,6
"1316",7.5,0.63,0.27,3.26,6
"1317",5.4,0.74,0,4.01,6
"1318",9.9,0.44,0.46,3.18,6
"1319",7.5,0.63,0.27,3.26,6
"1320",9.1,0.76,0.68,2.9,6
"1321",9.7,0.66,0.34,3.26,5
"1322",5,0.74,0,4.01,6
"1323",9.1,0.34,0.42,3.18,5
"1324",9.1,0.36,0.39,3.18,7
"1325",6.7,0.46,0.24,3.39,6
"1326",6.7,0.46,0.24,3.39,6
"1327",6.7,0.46,0.24,3.39,6
"1328",6.7,0.46,0.24,3.39,6
"1329",6.5,0.52,0.11,3.34,5
"1330",7.4,0.6,0.26,3.29,6
"1331",7.4,0.6,0.26,3.29,6
"1332",7.8,0.87,0.26,3.26,5
"1333",8.4,0.39,0.1,3.09,6
"1334",9.1,0.775,0.22,3.18,5
"1335",7.2,0.835,0,3.39,5
"1336",6.6,0.58,0.02,3.38,6
"1337",6,0.5,0,3.36,5
